,LocationDesc,Question,Data_Value,StratificationCategory1,Stratification1
18272,Mississippi,Percent of adults aged 18 years and older who have an overweight classification,32.7,Race/Ethnicity,Non-Hispanic Black
18273,Wyoming,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,26.4,Education,High school graduate
18274,Montana,Percent of adults who engage in no leisure-time physical activity,25.8,Income,"$15,000 - $24,999"
18275,Nevada,Percent of adults aged 18 years and older who have obesity,25.8,Gender,Female
18276,New Jersey,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,21.6,Total,Total
18277,Puerto Rico,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Other
18278,Tennessee,Percent of adults aged 18 years and older who have an overweight classification,37.0,Income,"$75,000 or greater"
18279,Georgia,Percent of adults who engage in no leisure-time physical activity,23.0,Age (years),25 - 34
18280,Florida,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,31.1,Education,Some college or technical school
18281,South Carolina,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,15.6,Race/Ethnicity,American Indian/Alaska Native
18282,Minnesota,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,35.9,Education,Some college or technical school
18283,Nebraska,Percent of adults who report consuming vegetables less than one time daily,10.4,Race/Ethnicity,Asian
18284,Washington,Percent of adults who report consuming fruit less than one time daily,42.7,Age (years),18 - 24
18285,South Carolina,Percent of adults aged 18 years and older who have obesity,34.8,Education,High school graduate
18286,Nebraska,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,27.9,Age (years),45 - 54
18287,Colorado,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),61.2,Income,"$50,000 - $74,999"
18288,Montana,Percent of adults aged 18 years and older who have an overweight classification,45.5,Gender,Male
18289,Tennessee,Percent of adults aged 18 years and older who have obesity,40.6,Income,"$35,000 - $49,999"
18290,Illinois,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,26.4,Income,"$75,000 or greater"
18291,Vermont,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,17.9,Education,Less than high school
18292,California,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),59.0,Education,Some college or technical school
18293,Maine,Percent of adults who report consuming fruit less than one time daily,29.4,Race/Ethnicity,2 or more races
18294,Alaska,Percent of adults aged 18 years and older who have an overweight classification,30.0,Income,"$35,000 - $49,999"
18295,Washington,Percent of adults aged 18 years and older who have an overweight classification,34.9,Race/Ethnicity,Non-Hispanic Black
18296,Idaho,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,26.0,Age (years),65 or older
18297,Wyoming,Percent of adults aged 18 years and older who have obesity,23.4,Age (years),65 or older
18298,Illinois,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),31.1,Race/Ethnicity,Hawaiian/Pacific Islander
18299,Ohio,Percent of adults who report consuming vegetables less than one time daily,20.4,Education,Some college or technical school
18300,Texas,Percent of adults who report consuming fruit less than one time daily,38.3,Age (years),25 - 34
18301,National,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),30.1,Gender,Female
18302,Wisconsin,Percent of adults aged 18 years and older who have an overweight classification,33.6,Income,"$35,000 - $49,999"
18303,Missouri,Percent of adults aged 18 years and older who have obesity,33.5,Education,College graduate
18304,Nebraska,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,35.7,Race/Ethnicity,Non-Hispanic Black
18305,South Dakota,Percent of adults who engage in no leisure-time physical activity,20.7,Age (years),25 - 34
18306,Delaware,Percent of adults aged 18 years and older who have obesity,31.8,Total,Total
18307,Virgin Islands,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,Other
18308,Nevada,Percent of adults aged 18 years and older who have obesity,27.4,Education,Some college or technical school
18309,Connecticut,Percent of adults aged 18 years and older who have obesity,42.7,Income,"$25,000 - $34,999"
18310,Maine,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),50.4,Income,"$25,000 - $34,999"
18311,Arizona,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),47.9,Age (years),55 - 64
18312,Ohio,Percent of adults who report consuming vegetables less than one time daily,23.2,Income,"$15,000 - $24,999"
18313,Alabama,Percent of adults who report consuming vegetables less than one time daily,18.1,Gender,Female
18314,District of Columbia,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,21.5,Education,High school graduate
18315,Virginia,Percent of adults who engage in no leisure-time physical activity,18.7,Age (years),35 - 44
18316,Massachusetts,Percent of adults aged 18 years and older who have an overweight classification,35.1,Education,High school graduate
18317,Maryland,Percent of adults who engage in no leisure-time physical activity,24.1,Total,Total
18318,Utah,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),32.1,Gender,Female
18319,National,Percent of adults aged 18 years and older who have obesity,19.5,Age (years),18 - 24
18320,South Carolina,Percent of adults aged 18 years and older who have obesity,32.0,Income,"$35,000 - $49,999"
18321,Massachusetts,Percent of adults who report consuming vegetables less than one time daily,17.7,Race/Ethnicity,2 or more races
18322,Montana,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,19.9,Income,Data not reported
18323,National,Percent of adults aged 18 years and older who have an overweight classification,35.4,Race/Ethnicity,Other
18324,Pennsylvania,Percent of adults aged 18 years and older who have obesity,33.9,Age (years),45 - 54
18325,Nebraska,Percent of adults who engage in no leisure-time physical activity,25.2,Age (years),25 - 34
18326,Montana,Percent of adults aged 18 years and older who have an overweight classification,37.1,Income,"$35,000 - $49,999"
18327,Oklahoma,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,30.4,Age (years),18 - 24
18328,Idaho,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),31.1,Race/Ethnicity,Non-Hispanic Black
18329,Nevada,Percent of adults aged 18 years and older who have an overweight classification,33.2,Race/Ethnicity,Non-Hispanic White
18330,District of Columbia,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,42.6,Income,"$75,000 or greater"
18331,Michigan,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,28.1,Income,Data not reported
18332,Arizona,Percent of adults aged 18 years and older who have obesity,31.0,Race/Ethnicity,Other
18333,New York,Percent of adults who engage in no leisure-time physical activity,25.6,Race/Ethnicity,American Indian/Alaska Native
18334,Arkansas,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,30.9,Race/Ethnicity,Asian
18335,Minnesota,Percent of adults aged 18 years and older who have an overweight classification,32.2,Race/Ethnicity,Non-Hispanic Black
18336,Alabama,Percent of adults who report consuming vegetables less than one time daily,16.6,Race/Ethnicity,2 or more races
18337,North Dakota,Percent of adults aged 18 years and older who have an overweight classification,31.9,Income,Data not reported
